,qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3,track,circuitId,year,driver,min time
6964,6987,962,3,Mercedes,6,1,105.316,103.02,102.584,Singapore Grand Prix,15,2016,Nico Rosberg,102.584
6986,7009,963,1,Mercedes,44,1,94.444,93.046,92.85,Malaysian Grand Prix,2,2016,Lewis Hamilton,92.85
7008,7031,964,3,Mercedes,6,1,91.858,90.714,90.647,Japanese Grand Prix,22,2016,Nico Rosberg,90.647
7030,7053,965,1,Mercedes,44,1,96.296,96.45,94.999,United States Grand Prix,69,2016,Lewis Hamilton,94.999
7052,7075,966,1,Mercedes,44,1,79.447,79.137,78.704,Mexican Grand Prix,32,2016,Lewis Hamilton,78.704
7073,7096,967,1,Mercedes,44,1,71.511,71.238,70.736,Brazilian Grand Prix,18,2016,Lewis Hamilton,70.736
7095,7118,968,1,Mercedes,44,1,99.487,99.382,98.755,Abu Dhabi Grand Prix,24,2016,Lewis Hamilton,98.755
7117,7140,969,1,Mercedes,44,1,84.191,83.251,82.188,Australian Grand Prix,1,2017,Lewis Hamilton,82.188
7137,7160,970,1,Mercedes,44,1,93.333,92.406,91.678,Chinese Grand Prix,17,2017,Lewis Hamilton,91.678
7157,7180,971,822,Mercedes,77,1,91.041,89.555,88.769,Bahrain Grand Prix,3,2017,Valtteri Bottas,88.769
7177,7200,972,20,Ferrari,5,1,94.493,94.038,93.194,Russian Grand Prix,71,2017,Sebastian Vettel,93.194
7197,7220,973,1,Mercedes,44,1,80.511,80.21,79.149,Spanish Grand Prix,4,2017,Lewis Hamilton,79.149
7217,7240,974,8,Ferrari,7,1,73.117,72.231,72.178,Monaco Grand Prix,6,2017,Kimi RÃ_ikkÃÂ¦nen,72.178
7237,7260,975,1,Mercedes,44,1,72.692,72.496,71.459,Canadian Grand Prix,7,2017,Lewis Hamilton,71.459
7257,7280,976,1,Mercedes,44,1,101.983,101.275,100.593,Azerbaijan Grand Prix,73,2017,Lewis Hamilton,100.593
7277,7300,977,822,Mercedes,77,1,65.76,64.316,64.251,Austrian Grand Prix,70,2017,Valtteri Bottas,64.251
7297,7320,978,1,Mercedes,44,1,99.069,87.893,86.6,British Grand Prix,9,2017,Lewis Hamilton,86.6
7317,7340,979,20,Ferrari,5,1,77.244,76.802,76.276,Hungarian Grand Prix,11,2017,Sebastian Vettel,76.276
7337,7360,980,1,Mercedes,44,1,104.184,102.927,102.553,Belgian Grand Prix,13,2017,Lewis Hamilton,102.553
7357,7380,981,1,Mercedes,44,1,96.009,94.66,95.554,Italian Grand Prix,14,2017,Lewis Hamilton,94.66
7377,7400,982,20,Ferrari,5,1,103.336,100.529,99.491,Singapore Grand Prix,15,2017,Sebastian Vettel,99.491
7397,7420,983,1,Mercedes,44,1,91.605,90.977,90.076,Malaysian Grand Prix,2,2017,Lewis Hamilton,90.076
7417,7440,984,1,Mercedes,44,1,89.047,87.819,87.319,Japanese Grand Prix,22,2017,Lewis Hamilton,87.319
7437,7460,985,1,Mercedes,44,1,94.822,93.437,93.108,United States Grand Prix,69,2017,Lewis Hamilton,93.108
7457,7480,986,20,Ferrari,5,1,77.665,76.87,76.488,Mexican Grand Prix,32,2017,Sebastian Vettel,76.488
7476,7499,987,822,Mercedes,77,1,69.452,68.638,68.322,Brazilian Grand Prix,18,2017,Valtteri Bottas,68.322
7495,7520,988,822,Mercedes,77,1,97.356,96.822,96.231,Abu Dhabi Grand Prix,24,2017,Valtteri Bottas,96.231
